latitude,longitude,time
51.501757,-2.546803,114834.283
51.501733,-2.546803,114834.283
51.501733,-2.546823,114834.283
51.501733,-2.546830,114834.284
51.501730,-2.546833,114834.284
51.501728,-2.546837,114834.284
51.501722,-2.546837,114834.284
51.501713,-2.546837,114834.284
51.501713,-2.546807,114834.285
51.501688,-2.546807,114834.285
51.501688,-2.546837,114834.285
51.501603,-2.546837,114834.285
51.501603,-2.546870,114834.285
51.501688,-2.546870,114834.285
51.501688,-2.546888,114834.285
51.501713,-2.546888,114834.286
51.501713,-2.546870,114834.286
51.501722,-2.546870,114834.286
51.501738,-2.546870,114834.286
51.501747,-2.546862,114834.286
51.501757,-2.546852,114834.286
51.501757,-2.546830,114834.287
51.501757,-2.546803,114834.287
51.501603,-2.546892,114834.287
51.501757,-2.546788,114834.287
51.501757,-2.546753,114834.287
51.501603,-2.546753,114834.288
51.501603,-2.546788,114834.288
51.501757,-2.546788,114834.288
51.501603,-2.546805,114834.288
51.501653,-2.546670,114834.288
51.501653,-2.546682,114834.289
51.501650,-2.546687,114834.289
51.501645,-2.546693,114834.289
51.501638,-2.546693,114834.289
51.501632,-2.546693,114834.290
51.501628,-2.546688,114834.290
51.501625,-2.546683,114834.290
51.501625,-2.546675,114834.290
51.501625,-2.546667,114834.290
51.501632,-2.546660,114834.290
51.501638,-2.546652,114834.290
51.501650,-2.546652,114834.291
51.501653,-2.546652,114834.291
51.501653,-2.546670,114834.291
51.501603,-2.546737,114834.291
51.501667,-2.546617,114834.291
51.501603,-2.546617,114834.291
51.501603,-2.546652,114834.292
51.501620,-2.546652,114834.292
51.501610,-2.546660,114834.292
51.501605,-2.546668,114834.292
51.501602,-2.546677,114834.292
51.501602,-2.546690,114834.292
51.501602,-2.546707,114834.293
51.501612,-2.546717,114834.293
51.501622,-2.546728,114834.293
51.501637,-2.546728,114834.293
51.501657,-2.546728,114834.293
51.501665,-2.546715,114834.293
51.501673,-2.546702,114834.293
51.501673,-2.546673,114834.294
51.501673,-2.546652,114834.294
51.501677,-2.546652,114834.294
51.501685,-2.546652,114834.294
51.501688,-2.546658,114834.295
51.501693,-2.546665,114834.295
51.501693,-2.546680,114834.295
51.501693,-2.546690,114834.295
51.501690,-2.546700,114834.296
51.501688,-2.546710,114834.296
51.501683,-2.546718,114834.296
51.501710,-2.546718,114834.296
51.501713,-2.546707,114834.297
51.501715,-2.546695,114834.297
51.501717,-2.546685,114834.297
51.501717,-2.546673,114834.297
51.501717,-2.546643,114834.298
51.501705,-2.546630,114834.298
51.501693,-2.546617,114834.298
51.501667,-2.546617,114834.298
51.501603,-2.546737,114834.298
51.501623,-2.546510,114834.299
51.501613,-2.546517,114834.299
51.501608,-2.546527,114834.299
51.501603,-2.546535,114834.299
51.501603,-2.546547,114834.300
51.501603,-2.546567,114834.300
51.501620,-2.546580,114834.300
51.501635,-2.546592,114834.300
51.501660,-2.546592,114834.301
51.501685,-2.546592,114834.301
51.501700,-2.546580,114834.301
51.501715,-2.546567,114834.301
51.501715,-2.546547,114834.302
51.501715,-2.546535,114834.302
51.501712,-2.546527,114834.302
51.501707,-2.546517,114834.302
51.501697,-2.546510,114834.303
51.501713,-2.546510,114834.303
51.501713,-2.546475,114834.303
51.501615,-2.546475,114834.303
51.501588,-2.546475,114834.304
51.501575,-2.546492,114834.304
51.501562,-2.546508,114834.304
51.501562,-2.546540,114834.304
51.501562,-2.546550,114834.305
51.501562,-2.546560,114834.305
51.501563,-2.546570,114834.305
51.501567,-2.546578,114834.305
51.501595,-2.546578,114834.305
51.501588,-2.546570,114834.306
51.501587,-2.546562,114834.306
51.501583,-2.546552,114834.306
51.501583,-2.546543,114834.306
51.501583,-2.546527,114834.307
51.501592,-2.546518,114834.307
51.501598,-2.546510,114834.307
51.501615,-2.546510,114834.307
51.501623,-2.546510,114834.308
51.501603,-2.546602,114834.308
51.501690,-2.546533,114834.308
51.501690,-2.546543,114834.308
51.501683,-2.546550,114834.309
51.501675,-2.546557,114834.309
51.501660,-2.546557,114834.309
51.501645,-2.546557,114834.309
51.501637,-2.546550,114834.309
51.501630,-2.546545,114834.310
51.501630,-2.546533,114834.310
51.501630,-2.546522,114834.310
51.501637,-2.546517,114834.310
51.501645,-2.546510,114834.311
51.501660,-2.546510,114834.311
51.501675,-2.546510,114834.311
51.501683,-2.546517,114834.311
51.501690,-2.546522,114834.311
51.501690,-2.546533,114834.311
51.501603,-2.546602,114834.312
51.501593,-2.546342,114834.312
51.501572,-2.546342,114834.312
51.501572,-2.546362,114834.312
51.501572,-2.546383,114834.312
51.501580,-2.546393,114834.312
51.501588,-2.546403,114834.313
51.501607,-2.546403,114834.313
51.501627,-2.546403,114834.313
51.501640,-2.546403,114834.313
51.501647,-2.546408,114834.313
51.501652,-2.546413,114834.313
51.501652,-2.546427,114834.313
51.501652,-2.546433,114834.314
51.501673,-2.546433,114834.314
51.501673,-2.546427,114834.314
51.501673,-2.546413,114834.314
51.501680,-2.546408,114834.314
51.501685,-2.546403,114834.314
51.501700,-2.546403,114834.314
51.501720,-2.546403,114834.315
51.501738,-2.546403,114834.315
51.501747,-2.546393,114834.315
51.501757,-2.546383,114834.315
51.501757,-2.546362,114834.315
51.501757,-2.546342,114834.315
51.501733,-2.546342,114834.316
51.501733,-2.546348,114834.316
51.501733,-2.546362,114834.317
51.501730,-2.546365,114834.317
51.501725,-2.546370,114834.317
51.501712,-2.546370,114834.317
51.501695,-2.546370,114834.318
51.501680,-2.546370,114834.318
51.501673,-2.546373,114834.318
51.501667,-2.546378,114834.318
51.501663,-2.546390,114834.319
51.501662,-2.546378,114834.319
51.501655,-2.546373,114834.319
51.501647,-2.546370,114834.319
51.501632,-2.546370,114834.320
51.501615,-2.546370,114834.320
51.501602,-2.546370,114834.320
51.501598,-2.546365,114834.321
51.501593,-2.546362,114834.324
51.501593,-2.546348,114834.324
